Iter,Train,Val_G,Val_L,AP50:95,AP50,AP75
1,159.58599853515625,5585.464993722098,4259.69189453125,0.0,0.0,0.0
127,nan,nan,nan,0.0,0.0,0.0
254,nan,nan,nan,0.0,0.0,0.0
381,nan,nan,nan,0.0,0.0,0.0
508,nan,nan,nan,0.0,0.0,0.0
635,nan,nan,nan,0.0,0.0,0.0
762,nan,nan,nan,0.0,0.0,0.0
889,nan,nan,nan,0.0,0.0,0.0
1016,nan,nan,nan,0.0,0.0,0.0
1143,nan,nan,nan,0.0,0.0,0.0
1270,nan,nan,nan,0.0,0.0,0.0
1397,nan,nan,nan,0.0,0.0,0.0
1524,nan,nan,nan,0.0,0.0,0.0
1651,nan,nan,nan,0.0,0.0,0.0
1778,nan,nan,nan,0.0,0.0,0.0
1905,nan,nan,nan,0.0,0.0,0.0
2032,nan,nan,nan,0.0,0.0,0.0
2159,nan,nan,nan,0.0,0.0,0.0
2286,nan,nan,nan,0.0,0.0,0.0
2413,nan,nan,nan,0.0,0.0,0.0
2540,nan,nan,nan,0.0,0.0,0.0
2667,nan,nan,nan,0.0,0.0,0.0
2794,nan,nan,nan,0.0,0.0,0.0
2921,nan,nan,nan,0.0,0.0,0.0
3048,nan,nan,nan,0.0,0.0,0.0
3175,nan,nan,nan,0.0,0.0,0.0
3302,nan,nan,nan,0.0,0.0,0.0
3429,nan,nan,nan,0.0,0.0,0.0
3556,nan,nan,nan,0.0,0.0,0.0
3683,nan,nan,nan,0.0,0.0,0.0
3810,nan,nan,nan,0.0,0.0,0.0
3937,nan,nan,nan,0.0,0.0,0.0
4064,nan,nan,nan,0.0,0.0,0.0
4191,nan,nan,nan,0.0,0.0,0.0
4318,nan,nan,nan,0.0,0.0,0.0
4445,nan,nan,nan,0.0,0.0,0.0
4572,nan,nan,nan,0.0,0.0,0.0
4699,nan,nan,nan,0.0,0.0,0.0
4826,nan,nan,nan,0.0,0.0,0.0
4953,nan,nan,nan,0.0,0.0,0.0
5080,nan,nan,nan,0.0,0.0,0.0
5207,nan,nan,nan,0.0,0.0,0.0
5334,nan,nan,nan,0.0,0.0,0.0
5461,nan,nan,nan,0.0,0.0,0.0
5588,nan,nan,nan,0.0,0.0,0.0
5715,nan,nan,nan,0.0,0.0,0.0
5842,nan,nan,nan,0.0,0.0,0.0
5969,nan,nan,nan,0.0,0.0,0.0
6096,nan,nan,nan,0.0,0.0,0.0
6223,nan,nan,nan,0.0,0.0,0.0
6350,nan,nan,nan,0.0,0.0,0.0
6477,nan,nan,nan,0.0,0.0,0.0
6604,nan,nan,nan,0.0,0.0,0.0
6731,nan,nan,nan,0.0,0.0,0.0
6858,nan,nan,nan,0.0,0.0,0.0
6985,nan,nan,nan,0.0,0.0,0.0
7112,nan,nan,nan,0.0,0.0,0.0
7239,nan,nan,nan,0.0,0.0,0.0
7366,nan,nan,nan,0.0,0.0,0.0
7493,nan,nan,nan,0.0,0.0,0.0
7500,nan,nan,nan,0.0,0.0,0.0
